index,Maruti Suzuki,Tata,Mahindra
2019-01,132872,17272,22399
2019-02,129936,17818,24520
2019-03,138483,17714,25982
2019-04,129990,12695,18901
2019-05,121012,10900,19541
2019-06,111014,13351,17762
2019-07,96478,10485,16024
2019-08,93173,7316,13147
2019-09,110454,8097,13967
2019-10,139121,13169,17923
2019-11,139133,10400,14240
2019-12,122784,12785,15276
2020-01,139843,13856,19407
2020-02,133632,12196,10673
2020-03,76039,5676,3105
2020-04,0,0,0
2020-05,13702,3152,3745
2020-06,51274,11419,7959
2020-07,97768,15012,10904
2020-08,113033,18583,13407
2020-09,147912,21200,14664
2020-10,163656,23600,18318
2020-11,135775,21640,17971
2020-12,140754,23546,18720
2021-01,139002,26980,20498
2021-02,144761,27224,16702
2021-03,146203,29655,16643
2021-04,135879,25095,18285
2021-05,32903,15181,8004
2021-06,124280,24111,16636
2021-07,133732,30184,20797
2021-08,103187,28017,15786
2021-09,63111,25729,12863
2021-10,108991,33296,20034
2021-11,109722,29780,19400
2021-12,123016,35300,17476