Index,Hyundai,Kia,Honda,Toyota,Renault,Ford,Nissan,MG,Volkswagen,Skoda,Jeep
2019-01,45803,0,18259,11221,5825,7700,1500,0,2803,1232,1267
2019-02,43110,0,13527,11760,6241,6669,774,0,2617,1267,1304
2019-03,44350,0,17201,12818,7127,8271,977,0,2751,1401,1441
2019-04,42005,0,11272,10112,6256,6515,518,0,1995,1126,1204
2019-05,42502,0,11442,12138,5949,6361,476,0,2685,1148,977
2019-06,42007,0,10314,10603,5400,5333,401,0,2463,987,791
2019-07,39010,0,10250,10423,3660,6284,313,1508,2521,1076,509
2019-08,38205,6236,8291,10701,5704,5517,288,2018,2306,1164,605
2019-09,40705,7754,9301,10203,8345,5556,295,2608,2550,1233,603
2019-10,50010,12854,10010,11866,11516,7017,401,3536,3213,1378,854
2019-11,44600,14005,6459,8312,10882,5392,350,3239,2937,1266,638
2019-12,37953,4645,8412,6544,11964,3021,617,3021,3483,2006,742
2020-01,42002,15450,5239,5804,7805,4881,172,3130,968,1347,701
2020-02,40010,15644,7269,10352,8784,7019,267,1376,314,1259,666
2020-03,26300,8583,3697,7023,3269,3519,519,1518,128,451,163
2020-04,0,0,0,0,0,0,0,0,0,0,0
2020-05,6883,1661,375,1641,1753,571,74,710,1404,508,93
2020-06,21320,7275,1398,3866,4634,2639,70,2012,1510,790,256
2020-07,38200,8502,5383,5386,6422,3937,88,2105,1887,922,400
2020-08,45809,10853,7509,5555,8060,4731,192,2851,1470,1003,468
2020-09,50313,18676,10199,8116,8805,5765,58,2537,2050,1312,554
2020-10,56605,21021,10836,12373,11005,7084,122,3750,2054,1421,832
2020-11,48800,21022,9990,8508,10181,3991,158,4163,1412,1056,709
2020-12,47400,11818,8638,7487,9800,1662,657,4010,2401,1303,384
2021-01,52005,19056,11320,11126,8209,4141,4021,3602,2041,1004,394
2021-02,51600,15380,9324,14069,11043,5775,4244,4329,2186,853,1103
2021-03,52600,19100,7103,14997,12356,7746,4012,5528,1159,1159,1360
2021-04,49002,16111,9072,9621,8642,5469,3369,2565,1533,961,846
2021-05,25001,11050,2032,707,2620,766,1235,1016,1425,716,475
2021-06,40496,15015,4767,8798,6100,4936,3336,3558,1633,734,789
2021-07,48042,15016,6055,13103,9787,3139,4208,4225,1962,3080,909
2021-08,46866,16750,11177,12769,9703,1508,3170,3900,1631,3829,1173
2021-09,33087,14441,6765,9284,7326,0,2701,3241,2563,3027,1311
2021-10,37021,16331,8108,12440,8910,0,3619,2863,3077,3065,1324
2021-11,37001,14214,5457,13002,5052,0,2392,2481,3154,2196,1052
2021-12,32312,7797,7973,10883,6130,0,2783,2550,3700,3233,916